snp-dists 0.8.2	039671	100_R277	101_R424	102_R528	103_R531	104_R560	105_R571	106_R584	107_M414	109_M574	111_D16450	2023004	2023005	2023008	2023010	2023012	2023014	2023015	2023016	2023017	2023018	2023019	2023020	2023021	2023024	2023026	2023029	2023037	2023039	2023042	2023044	2023045	2023046	2023047	2023050	2023059	2023062	2023063	2023071	2023075	2023079	2023081	2023082	2023083	2023088	2023089	2023091	2023092	2023102	2023114	2023115	2023120	2023124	2023126	2023137	2023139	2023144	2023145	2023150	2023167	2023169	2023175	2023176	2023178	2023183	2023186	2023187	2023190	2023196	2023207	2023214	2023216	2023222	2023227	2023229	2023233	2023236	2023244	2023248	2023257	2023275	2023286	2023291	2023296	2023312	2023316	2023318	2023322	2023329	2023331	2023339	2023348	2023353	2023356	2023357	2023373	2023378	23007	23053	23064	23094	23098	23112	23116	23119	23129	23136	23146	23152	23155	23157	23159	23160	23162	23164	23166	23168	23171	23181	23184	23189549	23198	23204	23212	23217	23220	23221	23225	23230	23232	23238	23240	23241	23247	23250	23251	23253	23254	23260	23263	23270	23274	23283	23292	23303	23307	23314	23315	23327	23347	23351	23362	23365	23371	23375	23377	23379	23407	23414165	23415	23417	23429	23434	23437	23439	23443	23455	23456	23461	23476	23478	23492778	23492966	23493050	23493423	23494	23497	23527	23529	23531	23532	23535	23578	23619	23624	23M510	23M512	23M513	23M554	23M636	23R441	23R485	23R530	23R533	23R535	23R583	23R600	23R655	23R656	418_R417	421_23R428	428_2023XYX	429_23R430	430_D16447	431_23M469	432_23M355	433_23R414	440_23R425	441_23R548	443_23R407	444_23R443	445_D16535	447_23R447	448_23M494	492434	492831	493229	493289	493339	493478	493600	493686	493708	493798
039671	0	18	19	18	26	21	19	14	18	23	16	15	18	20	20	14	20	16	17	20	22	20	14	16	15	15	20	16	21	17	14	26	17	22	19	15	20	25	14	15	12	17	20	25	14	14	14	14	22	15	25	17	14	23	20	26	16	13	18	18	20	28	14	22	17	17	20	25	12	21	16	12	16	22	24	16	13	26	21	21	11	16	12	16	11	16	21	20	21	18	13	16	16	24	24	28	27	24	16	17	10	20	17	16	22	16	15	22	18	19	14	21	21	11	21	26	20	26	26	16	25	22	12	20	21	17	18	14	21	18	20	21	14	18	21	14	27	11	17	21	17	17	21	22	22	11	24	13	17	16	20	24	12	17	18	11	19	16	12	16	16	16	13	14	18	19	14	14	25	17	17	14	22	21	21	13	12	16	17	17	17	20	26	16	19	13	13	19	1	18	18	16	11	18	22	23	15	24	27	19	23	18	18	14	14	14	22	25	19	23	16	25	15	19	15	19	24	18	19	17	20	16	19	25
100_R277	18	0	23	22	26	21	25	20	22	23	22	21	24	26	26	20	26	20	23	24	28	26	20	20	21	21	24	20	27	21	20	26	21	22	23	21	26	31	20	21	18	21	26	31	18	18	18	18	22	21	29	23	14	27	20	30	20	13	18	22	20	32	20	26	23	21	20	29	18	25	20	16	22	26	24	20	19	30	25	25	17	20	12	20	17	22	27	20	21	24	19	20	22	24	24	32	31	30	22	23	14	24	21	20	22	22	21	28	24	23	20	25	25	17	25	32	20	30	30	22	29	28	12	24	27	23	22	20	25	18	24	25	20	22	27	20	31	17	21	21	21	23	25	22	26	17	24	19	21	22	26	24	18	23	24	17	23	22	18	20	22	22	17	18	22	23	20	20	25	23	23	20	26	21	27	17	18	22	23	23	23	20	32	22	23	17	17	25	19	24	24	16	17	22	26	23	21	28	27	25	23	24	24	20	20	20	26	31	23	27	22	29	21	25	21	25	28	22	19	23	24	22	23	25
101_R424	19	23	0	3	31	26	26	21	21	28	23	22	25	27	27	21	27	21	24	21	29	27	21	21	22	22	19	15	28	2	21	31	22	27	4	22	27	32	21	22	19	22	27	32	17	17	17	17	27	22	26	24	19	28	25	27	19	18	23	23	25	27	21	21	24	20	25	28	19	24	21	15	23	21	29	19	20	29	20	20	18	19	17	19	18	23	28	25	26	25	20	19	23	29	29	31	28	31	23	24	13	19	22	15	27	23	22	29	25	20	21	20	20	18	20	33	25	29	29	23	28	29	17	25	28	24	3	21	24	23	5	20	21	23	28	21	30	18	22	26	18	24	26	27	27	18	29	20	22	23	27	29	19	24	25	18	4	23	19	21	23	23	16	17	23	22	21	21	30	24	24	21	27	26	28	16	19	23	24	24	24	25	33	23	18	16	16	26	20	25	25	21	18	23	27	28	22	29	32	26	28	25	25	21	21	21	27	32	22	22	23	26	22	26	22	26	29	21	24	24	5	23	4	30
102_R528	18	22	3	0	30	25	25	20	20	27	22	21	24	26	26	20	26	20	23	20	28	26	20	20	21	21	18	14	27	1	20	30	21	26	3	21	26	31	20	21	18	21	26	31	16	16	16	16	26	21	25	23	18	27	24	26	18	17	22	22	24	26	20	20	23	19	24	27	18	23	20	14	22	20	28	18	19	28	19	19	17	18	16	18	17	22	27	24	25	24	19	18	22	28	28	30	27	30	22	23	12	18	21	14	26	22	21	28	24	19	20	19	19	17	19	32	24	28	28	22	27	28	16	24	27	23	2	20	23	22	4	19	20	22	27	20	29	17	21	25	17	23	25	26	26	17	28	19	21	22	26	28	18	23	24	17	3	22	18	20	22	22	15	16	22	21	20	20	29	23	23	20	26	25	27	15	18	22	23	23	23	24	32	22	17	15	15	25	19	24	24	20	17	22	26	27	21	28	31	25	27	24	24	20	20	20	26	31	21	21	22	25	21	25	21	25	28	20	23	23	4	22	3	29
103_R531	26	26	31	30	0	23	33	28	30	31	30	29	32	34	34	28	34	28	31	32	36	34	28	28	29	29	32	28	35	29	28	28	29	30	31	29	34	39	28	29	26	29	34	39	26	26	26	26	30	29	37	31	22	35	22	38	28	21	26	30	28	40	28	34	31	29	22	37	26	33	28	24	30	34	26	28	27	38	33	33	25	28	20	28	25	30	35	28	29	32	27	28	30	32	32	40	39	38	30	31	22	32	29	28	30	30	29	36	32	31	28	33	33	25	33	40	28	38	38	30	37	36	20	32	35	31	30	28	33	20	32	33	28	30	35	28	39	25	29	23	29	31	33	30	34	25	32	27	29	30	34	32	26	31	32	25	31	30	26	28	30	30	25	26	30	31	28	28	27	31	31	28	34	29	35	25	26	30	31	31	31	28	40	30	31	25	25	33	27	32	32	24	25	30	34	31	29	36	35	33	31	32	32	28	28	28	34	39	31	35	30	37	29	33	29	33	36	30	27	31	32	30	31	33
104_R560	21	21	26	25	23	0	28	23	25	26	25	24	27	29	29	23	29	23	26	27	31	29	23	23	24	24	27	23	30	24	23	23	24	25	26	24	29	34	23	24	21	24	29	34	21	21	21	21	25	24	32	26	17	30	17	33	23	16	21	25	23	35	23	29	26	24	17	32	21	28	23	19	25	29	21	23	22	33	28	28	20	23	15	23	20	25	30	23	24	27	22	23	25	27	27	35	34	33	25	26	17	27	24	23	25	25	24	31	27	26	23	28	28	20	28	35	23	33	33	25	32	31	15	27	30	26	25	23	28	15	27	28	23	25	30	23	34	20	24	0	24	26	28	25	29	20	27	22	24	25	29	27	21	26	27	20	26	25	21	23	25	25	20	21	25	26	23	23	22	26	26	23	29	24	30	20	21	25	26	26	26	23	35	25	26	20	20	28	22	27	27	19	20	25	29	26	24	31	30	28	26	27	27	23	23	23	29	34	26	30	25	32	24	28	24	28	31	25	22	26	27	25	26	28
105_R571	19	25	26	25	33	28	0	17	25	30	19	18	21	23	23	17	23	23	20	27	25	23	17	23	18	18	27	23	24	24	17	33	24	29	26	18	23	28	17	18	13	24	23	28	21	21	21	21	29	18	32	24	21	30	27	33	23	20	25	25	27	35	21	29	22	24	27	32	13	28	23	19	19	29	31	23	16	33	28	28	18	23	19	23	18	19	24	27	28	21	20	23	19	31	31	35	34	27	23	20	17	27	24	23	29	19	18	25	25	26	21	28	28	12	28	31	27	33	33	19	32	25	19	27	24	20	25	17	28	25	27	28	21	25	24	21	34	12	24	28	24	20	28	29	29	18	31	20	24	19	23	31	19	20	21	18	26	19	15	23	19	19	20	21	25	26	21	21	32	20	22	21	29	28	24	20	15	19	20	20	20	27	33	19	26	20	20	22	20	25	21	23	12	25	29	30	18	31	34	22	30	25	21	17	17	17	29	32	26	30	19	32	18	22	18	22	31	25	26	20	27	19	26	32
106_R584	14	20	21	20	28	23	17	0	20	25	14	13	14	18	16	12	18	18	13	22	20	18	12	18	11	11	22	18	19	19	12	28	19	24	21	13	18	23	10	11	10	19	18	21	16	16	16	16	24	13	27	19	16	25	22	28	18	15	20	20	22	30	16	24	17	19	22	27	10	23	18	14	14	24	26	18	11	28	23	23	13	18	14	18	13	12	19	22	23	14	15	18	14	26	26	30	29	22	18	15	12	22	19	18	24	14	13	20	20	21	16	23	23	9	23	26	22	28	28	14	27	20	14	22	19	13	20	12	23	20	22	23	16	20	19	16	29	9	19	23	19	13	23	24	24	13	26	15	19	12	18	26	14	15	16	13	21	14	4	18	14	14	15	16	20	21	16	16	27	13	17	16	24	23	19	15	10	14	15	15	15	22	28	14	21	15	15	17	15	20	16	18	9	20	24	25	13	26	29	17	25	20	14	12	12	12	24	27	21	25	14	27	13	17	13	17	26	20	21	15	22	14	21	27
107_M414	18	22	21	20	30	25	25	20	0	27	22	21	24	26	26	20	26	20	23	22	28	26	20	20	21	21	22	18	27	19	20	30	21	26	21	21	26	31	20	21	18	21	26	31	16	16	16	16	26	21	27	23	18	27	24	28	18	17	22	22	24	30	20	24	23	19	24	25	18	23	20	14	22	24	28	18	19	26	23	23	17	18	16	16	17	22	27	24	25	24	19	16	22	28	28	30	29	30	22	23	12	22	21	18	26	22	21	28	24	21	20	23	23	17	23	32	24	26	26	22	27	28	16	24	27	23	20	20	23	22	22	23	20	22	27	20	27	17	21	25	19	23	25	26	26	17	28	19	21	22	26	28	18	23	24	17	21	22	18	20	22	22	15	16	22	19	20	20	29	23	23	20	26	25	27	15	18	22	23	23	23	24	32	22	21	15	15	25	19	24	24	20	17	22	26	27	21	28	31	25	27	24	24	20	20	20	26	31	19	25	22	27	21	25	21	25	28	18	23	23	22	22	21	29
